YearMonth,Sales,Profit,Profit_Margin
2014-01,14236.895,2450.1907,0.1721014799926529
2014-02,4519.892,862.3084,0.19078075316843854
2014-03,55691.009,498.7299,0.008955303718774425
2014-04,28295.345,3488.8352,0.12330067719619604
2014-05,23648.287,2738.7096,0.1158100626907987
2014-06,34595.1276,4976.5244,0.1438504421067665
2014-07,33946.393,-841.4826000000002,-0.02478857179317992
2014-08,27909.4685,5318.105,0.19054841549562293
2014-09,81777.3508,8328.0994,0.1018387037306667
2014-10,31453.393,3448.2573,0.10963069389683969
2014-11,78628.7167,9292.1269,0.11817726766994277
2014-12,69545.6205,8983.5699,0.12917520665445784
2015-01,18174.0756,-3281.007,-0.18053226322003416
2015-02,11951.411,2813.8508,0.2354408864359196
2015-03,38726.252,9732.0978,0.25130492359549794
2015-04,34195.2085,4187.4962,0.12245856608828688
2015-05,30131.6865,4667.869,0.15491562345838158
2015-06,24797.292,3335.5572,0.13451296214118863
2015-07,28765.325,3288.6483,0.11432682578764536
2015-08,36898.3322,5355.8084,0.14515041956286578
2015-09,64595.918,8209.1627,0.12708485232766567
2015-10,31404.9235,2817.366,0.08971096522492723
2015-11,75972.5635,12474.7884,0.1642012303560087
2015-12,74919.5212,8016.9659,0.10700770335408924
2016-01,18542.490999999998,2824.8233,0.15234324773300417
2016-02,22978.815,5004.5795,0.21779101750895336
2016-03,51715.875,3611.9680000000003,0.06984253867888729
2016-04,38750.039000000004,2977.8149,0.07684675878648792
2016-05,56987.728,8662.1464,0.15200020607945625
2016-06,40344.534,4750.3781,0.11774527126772613
2016-07,39261.963,4432.8778999999995,0.11290515199150891
2016-08,31115.3743,2062.0693,0.06627171764409726
2016-09,73410.0249,9328.6576,0.1270760718676721
2016-10,59687.745,16243.142500000002,0.27213530181111717
2016-11,79411.9658,4011.4075,0.05051389245422759
2016-12,96999.043,17885.3093,0.18438645111168778
2017-01,43971.374,7140.4391,0.16238835520582093
2017-02,20301.1334,1613.8719999999998,0.07949664524641761
2017-03,58872.3528,14751.891500000002,0.2505741795323662
2017-04,36521.5361,933.2899999999998,0.025554511109405386
2017-05,44261.1102,6342.5828,0.14329922524175637
2017-06,52981.7257,8223.3357,0.15521079374732408
2017-07,45264.416,6952.6212,0.15360015249064518
2017-08,63120.888,9040.9557,0.14323239083708708
2017-09,87866.652,10991.5556,0.12509359751182964
2017-10,77776.9232,9275.2755,0.11925485244703019
2017-11,118447.825,9690.1037,0.08180904714797423
2017-12,83829.3188,8483.346800000001,0.10119784964780129
